curriculum,run_seed,trained_steps,checkpoint_kind,group,mean_return,mean_success,mean_length
joint,7,200000,mid,generalization_combined,-43.14287371932756,0.4083333333333333,822.9583333333333
joint,7,250000,mid,generalization_combined,175.0938709284352,0.95,397.20000000000005
joint,7,350000,mid,generalization_combined,199.1901513183504,0.9249999999999999,362.90833333333336
joint,7,400000,mid,generalization_combined,205.33343562272978,0.9166666666666666,328.2166666666667
joint,7,500000,final,generalization_combined,209.99516411599564,0.9333333333333333,356.25
joint,8,100000,mid,generalization_combined,-187.27827046255686,0.42499999999999993,687.9749999999999
joint,8,200000,mid,generalization_combined,-38.2066350572699,0.26666666666666666,869.5083333333334
joint,8,250000,mid,generalization_combined,158.3164954203474,0.9666666666666666,371.25
joint,8,350000,mid,generalization_combined,190.65373326080868,0.9416666666666665,250.39166666666665
joint,8,400000,mid,generalization_combined,161.3381875942288,0.8916666666666666,302.6333333333333
joint,8,500000,final,generalization_combined,175.74373584927147,0.9750000000000001,227.575
joint,9,100000,mid,generalization_combined,-117.07496444441342,0.2416666666666667,822.3000000000001
joint,9,200000,mid,generalization_combined,115.59869145331065,0.9666666666666668,494.0
joint,9,250000,mid,generalization_combined,137.52628899327726,0.9416666666666667,271.29166666666663
joint,9,350000,mid,generalization_combined,173.10921709223368,0.9416666666666667,294.4416666666667
joint,9,400000,mid,generalization_combined,189.41797952024348,0.9666666666666666,257.5333333333333
joint,9,500000,final,generalization_combined,185.75076067586724,0.9166666666666666,276.77500000000003
param,0,100000,mid,generalization_combined,-252.9763544816094,0.325,803.8666666666668
param,0,200000,mid,generalization_combined,112.19044875364025,0.95,578.0416666666666
param,0,225000,mid,generalization_combined,155.35720744424611,0.8916666666666666,388.89166666666665
param,0,325000,mid,generalization_combined,186.6249023504574,0.9666666666666666,293.84166666666664
param,0,350000,mid,generalization_combined,143.52804959334537,0.9916666666666667,199.04166666666669
param,0,450000,mid,generalization_combined,208.25071762401575,0.9416666666666665,284.65
param,0,500000,final,generalization_combined,226.28039110774554,0.9750000000000001,282.55
param,1,100000,mid,generalization_combined,-193.7607842452981,0.8083333333333333,512.5583333333334
param,1,200000,mid,generalization_combined,-43.24128728388011,0.525,753.275
param,1,225000,mid,generalization_combined,9.333982666587133,0.9416666666666667,289.89166666666665
param,1,325000,mid,generalization_combined,113.16551159116287,0.9416666666666667,332.925
param,1,350000,mid,generalization_combined,172.81706234468436,0.9249999999999999,304.95
param,1,450000,mid,generalization_combined,207.77693131827925,0.9333333333333333,301.5916666666667
param,1,500000,final,generalization_combined,214.03142541113846,0.9416666666666667,298.9916666666667
param,2,100000,mid,generalization_combined,-222.79664158422008,0.4833333333333333,691.1666666666666
param,2,200000,mid,generalization_combined,41.249504286614645,0.44166666666666665,807.7666666666667
param,2,225000,mid,generalization_combined,154.58309319012642,0.9333333333333332,312.0833333333333
param,2,325000,mid,generalization_combined,162.87491425847747,0.9416666666666667,303.6583333333333
param,2,350000,mid,generalization_combined,137.65768621200667,0.9583333333333334,239.675
param,2,450000,mid,generalization_combined,162.84642263847988,0.9750000000000001,210.8416666666667
param,2,500000,final,generalization_combined,161.14090514039626,0.9833333333333334,190.94166666666666
param,3,100000,mid,generalization_combined,-45.10241470412523,0.9916666666666667,332.5333333333333
param,3,200000,mid,generalization_combined,2.8013349261352603,0.49166666666666664,841.6666666666667
param,3,225000,mid,generalization_combined,78.82108885242378,0.9500000000000001,283.35
param,3,325000,mid,generalization_combined,145.78182208704675,0.8666666666666667,311.55
param,3,350000,mid,generalization_combined,132.11196986934965,0.9249999999999999,258.4583333333333
param,3,450000,mid,generalization_combined,115.569142465006,0.9750000000000001,214.66666666666669
param,3,500000,final,generalization_combined,119.9736429058643,0.9416666666666667,218.89999999999998
param,4,100000,mid,generalization_combined,-174.0342265545828,0.575,688.1750000000001
param,4,200000,mid,generalization_combined,-25.449114173503702,0.33333333333333337,808.2833333333333
param,4,225000,mid,generalization_combined,94.26441885578451,0.9333333333333333,473.275
param,4,325000,mid,generalization_combined,145.98003892590623,0.9750000000000001,279.55833333333334
param,4,350000,mid,generalization_combined,147.99308228446412,0.9416666666666667,268.55
param,4,450000,mid,generalization_combined,169.39314967525524,0.9666666666666666,225.45
param,4,500000,final,generalization_combined,171.06139564402824,1.0,207.3
param,5,100000,mid,generalization_combined,-146.69936999863302,0.7250000000000001,573.8166666666667
param,5,200000,mid,generalization_combined,-39.76571756039216,0.2583333333333333,931.6833333333333
param,5,225000,mid,generalization_combined,123.65816271699038,0.8083333333333333,530.3333333333333
param,5,325000,mid,generalization_combined,150.3339166725501,0.9083333333333333,442.6333333333333
param,5,350000,mid,generalization_combined,186.75949851865062,0.9416666666666665,290.5083333333333
param,5,450000,mid,generalization_combined,167.55952813377178,0.9916666666666667,250.88333333333333
param,5,500000,final,generalization_combined,143.56808514842348,0.9916666666666667,213.55833333333334
param,6,100000,mid,generalization_combined,-190.68993144788107,0.06666666666666667,946.7666666666667
param,6,200000,mid,generalization_combined,46.902624781349665,0.4833333333333334,766.3999999999999
param,6,225000,mid,generalization_combined,181.92889427845085,0.9166666666666665,368.9916666666667
param,6,325000,mid,generalization_combined,189.72667181919417,0.9583333333333333,312.45
param,6,350000,mid,generalization_combined,156.94891942627214,0.925,282.9916666666667
param,6,450000,mid,generalization_combined,191.26942315149466,0.9499999999999998,307.90833333333336
param,6,500000,final,generalization_combined,213.98419892338302,0.9750000000000001,280.69166666666666
param,7,100000,mid,generalization_combined,-176.93980115907848,0.4,769.05
param,7,200000,mid,generalization_combined,-75.251198566031,0.19166666666666665,895.6
param,7,225000,mid,generalization_combined,87.9215414227736,0.8083333333333335,535.9583333333334
param,7,325000,mid,generalization_combined,186.09141344518935,0.8999999999999999,392.7416666666667
param,7,350000,mid,generalization_combined,177.9349265387952,0.8999999999999999,296.89166666666665
param,7,450000,mid,generalization_combined,160.20610767690425,0.9333333333333332,244.875
param,7,500000,final,generalization_combined,149.69194890814873,0.9249999999999999,240.89999999999998
param,8,100000,mid,generalization_combined,-187.27827046255686,0.42499999999999993,687.9749999999999
param,8,200000,mid,generalization_combined,-68.77479192770902,0.2416666666666667,871.9583333333334
param,8,225000,mid,generalization_combined,82.91562322918745,0.8500000000000001,471.45833333333337
param,8,325000,mid,generalization_combined,159.68230289005834,0.9333333333333332,342.06666666666666
param,8,350000,mid,generalization_combined,163.78014778890102,0.95,309.7166666666667
param,8,450000,mid,generalization_combined,197.6080169485947,0.9750000000000001,291.85833333333335
param,8,500000,final,generalization_combined,231.17327253509745,0.9666666666666668,274.33333333333337
param,9,100000,mid,generalization_combined,-117.07496444441342,0.2416666666666667,822.3000000000001
param,9,200000,mid,generalization_combined,-86.11523917376235,0.14166666666666666,928.7333333333333
param,9,225000,mid,generalization_combined,103.09833880762147,0.8333333333333334,521.2916666666666
