curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,n_cases_used,expected_cases,coverage,is_valid,mean_return,mean_success_strict,mean_success_soft,mean_length
baseline,7,16,400000,524288,mid,training_like,4,4,1.0,True,21.0837763907817,0.125,0.275,860.275
baseline,7,17,425000,557056,mid,training_like,4,4,1.0,True,153.0798183335162,0.44999999999999996,0.6,564.05
baseline,7,18,450000,589824,mid,training_like,4,4,1.0,True,149.83715841977747,0.5,0.6,551.575
baseline,7,19,475000,622592,mid,training_like,4,4,1.0,True,144.99812089335202,0.425,0.55,592.45
baseline,7,20,500000,655360,final,training_like,4,4,1.0,True,142.53730661897535,0.44,0.6375000000000001,554.7025
baseline,8,1,25000,32768,mid,training_like,4,4,1.0,True,-187.77362867617376,0.0,0.0,383.7
baseline,8,2,50000,65536,mid,training_like,4,4,1.0,True,-145.2616924917213,0.0,0.0,418.775
baseline,8,3,75000,98304,mid,training_like,4,4,1.0,True,-196.90450693283856,0.0,0.0,456.6
baseline,8,4,100000,131072,mid,training_like,4,4,1.0,True,-183.4399890235083,0.0,0.0,538.7
baseline,8,5,125000,163840,mid,training_like,4,4,1.0,True,-185.9101084842252,0.0,0.0,654.825
baseline,8,6,150000,196608,mid,training_like,4,4,1.0,True,-166.69075094457511,0.0,0.0,719.05
baseline,8,7,175000,229376,mid,training_like,4,4,1.0,True,-87.23089156030183,0.0,0.0,862.3
baseline,8,8,200000,262144,mid,training_like,4,4,1.0,True,-79.23981870064817,0.0,0.0,853.875
baseline,8,9,225000,294912,mid,training_like,4,4,1.0,True,-67.23390373157554,0.0,0.025,702.4000000000001
baseline,8,10,250000,327680,mid,training_like,4,4,1.0,True,63.603417666444294,0.025,0.125,546.7
baseline,8,11,275000,360448,mid,training_like,4,4,1.0,True,145.78673906013287,0.275,0.475,583.075
baseline,8,12,300000,393216,mid,training_like,4,4,1.0,True,137.064555122518,0.25,0.6,640.35
baseline,8,13,325000,425984,mid,training_like,4,4,1.0,True,159.04291352249518,0.15000000000000002,0.44999999999999996,510.675
baseline,8,14,350000,458752,mid,training_like,4,4,1.0,True,183.61937127020627,0.39999999999999997,0.675,526.475
baseline,8,15,375000,491520,mid,training_like,4,4,1.0,True,168.87602558503343,0.42500000000000004,0.7,513.8499999999999
baseline,8,16,400000,524288,mid,training_like,4,4,1.0,True,186.61251734327607,0.3,0.575,423.45000000000005
baseline,8,17,425000,557056,mid,training_like,4,4,1.0,True,196.76898310065476,0.35,0.575,414.07500000000005
baseline,8,18,450000,589824,mid,training_like,4,4,1.0,True,209.84611151522762,0.4,0.625,411.775
baseline,8,19,475000,622592,mid,training_like,4,4,1.0,True,212.0870416400207,0.375,0.6499999999999999,384.15
baseline,8,20,500000,655360,final,training_like,4,4,1.0,True,222.52735195259157,0.48250000000000004,0.7575,360.28999999999996
baseline,9,1,25000,32768,mid,training_like,4,4,1.0,True,-95.43196239470453,0.0,0.175,148.525
baseline,9,2,50000,65536,mid,training_like,4,4,1.0,True,-97.41374104872375,0.025,0.025,249.425
baseline,9,3,75000,98304,mid,training_like,4,4,1.0,True,-34.27439168523347,0.025,0.125,298.90000000000003
baseline,9,4,100000,131072,mid,training_like,4,4,1.0,True,30.986497559309754,0.05,0.25,344.4
baseline,9,5,125000,163840,mid,training_like,4,4,1.0,True,41.963913381510444,0.1,0.275,557.825
baseline,9,6,150000,196608,mid,training_like,4,4,1.0,True,-41.59436552114013,0.0,0.0,905.875
baseline,9,7,175000,229376,mid,training_like,4,4,1.0,True,-89.05484351476873,0.0,0.0,956.65
baseline,9,8,200000,262144,mid,training_like,4,4,1.0,True,-78.03302384356584,0.0,0.0,956.275
baseline,9,9,225000,294912,mid,training_like,4,4,1.0,True,-73.57776218328581,0.0,0.0,951.275
baseline,9,10,250000,327680,mid,training_like,4,4,1.0,True,-39.832982519219804,0.0,0.025,975.525
baseline,9,11,275000,360448,mid,training_like,4,4,1.0,True,23.57530467609236,0.075,0.25,881.625
baseline,9,12,300000,393216,mid,training_like,4,4,1.0,True,171.05630431079146,0.475,0.825,660.625
baseline,9,13,325000,425984,mid,training_like,4,4,1.0,True,210.0757296475679,0.525,0.9249999999999999,555.125
baseline,9,14,350000,458752,mid,training_like,4,4,1.0,True,202.0996264212734,0.4,0.85,555.275
baseline,9,15,375000,491520,mid,training_like,4,4,1.0,True,209.35237029835582,0.55,0.725,517.45
baseline,9,16,400000,524288,mid,training_like,4,4,1.0,True,224.4871199147399,0.7,0.9,465.40000000000003
baseline,9,17,425000,557056,mid,training_like,4,4,1.0,True,223.22238841198538,0.55,0.85,433.17500000000007
baseline,9,18,450000,589824,mid,training_like,4,4,1.0,True,227.0264410424267,0.525,0.7999999999999999,449.75
baseline,9,19,475000,622592,mid,training_like,4,4,1.0,True,233.57045925484056,0.575,0.8250000000000001,396.775
baseline,9,20,500000,655360,final,training_like,4,4,1.0,True,239.36701598515845,0.635,0.89,331.0875
joint,0,1,25000,32768,mid,training_like,4,4,1.0,True,-377.79103043577584,0.0,0.0,356.2
joint,0,2,50000,65536,mid,training_like,4,4,1.0,True,-297.73975965237946,0.0,0.0,644.025
joint,0,3,75000,98304,mid,training_like,4,4,1.0,True,-271.4345739170959,0.0,0.0,695.4
joint,0,4,100000,131072,mid,training_like,4,4,1.0,True,-199.03083959244648,0.0,0.0,936.8499999999999
joint,0,5,125000,163840,mid,training_like,4,4,1.0,True,-133.88012679496168,0.0,0.0,1000.0
joint,0,6,150000,196608,mid,training_like,4,4,1.0,True,-82.44947068642777,0.0,0.0,1000.0
joint,0,7,175000,229376,mid,training_like,4,4,1.0,True,-32.78931564119121,0.025,0.025,994.525
joint,0,8,200000,262144,mid,training_like,4,4,1.0,True,-7.124523822913524,0.05,0.125,972.225
joint,0,9,225000,294912,mid,training_like,4,4,1.0,True,-2.6833944208101714,0.05,0.1,917.0999999999999
joint,0,10,250000,327680,mid,training_like,4,4,1.0,True,139.98947987938539,0.47500000000000003,0.6749999999999999,652.95
joint,0,11,275000,360448,mid,training_like,4,4,1.0,True,56.397097063071364,0.22499999999999998,0.425,822.625
joint,0,12,300000,393216,mid,training_like,4,4,1.0,True,94.82964668996088,0.325,0.5,721.1
joint,0,13,325000,425984,mid,training_like,4,4,1.0,True,173.76676737701825,0.525,0.775,591.975
joint,0,14,350000,458752,mid,training_like,4,4,1.0,True,166.63050598801084,0.4,0.7499999999999999,636.325
joint,0,15,375000,491520,mid,training_like,4,4,1.0,True,180.29012590346082,0.5249999999999999,0.7749999999999999,520.9250000000001
joint,0,16,400000,524288,mid,training_like,4,4,1.0,True,191.76751940143754,0.39999999999999997,0.675,508.225
joint,0,17,425000,557056,mid,training_like,4,4,1.0,True,216.31423905662268,0.45000000000000007,0.6500000000000001,414.75
joint,0,18,450000,589824,mid,training_like,4,4,1.0,True,199.14127829851103,0.45,0.625,409.225
joint,0,19,475000,622592,mid,training_like,4,4,1.0,True,204.59740233952468,0.375,0.6749999999999999,444.6
joint,0,20,500000,655360,final,training_like,4,4,1.0,True,213.85348993239575,0.46249999999999997,0.7,397.5725
joint,1,1,25000,32768,mid,training_like,4,4,1.0,True,-76.53489511256083,0.375,0.4,276.975
joint,1,2,50000,65536,mid,training_like,4,4,1.0,True,-136.6192105627597,0.025,0.05,338.45
joint,1,3,75000,98304,mid,training_like,4,4,1.0,True,-173.53053613642115,0.0,0.0,487.2
joint,1,4,100000,131072,mid,training_like,4,4,1.0,True,-153.7584488633367,0.0,0.0,722.2
joint,1,5,125000,163840,mid,training_like,4,4,1.0,True,-158.31137449440746,0.0,0.0,856.05
joint,1,6,150000,196608,mid,training_like,4,4,1.0,True,-101.50972153308649,0.0,0.0,964.525
joint,1,7,175000,229376,mid,training_like,4,4,1.0,True,-77.87006499313793,0.0,0.0,988.625
joint,1,8,200000,262144,mid,training_like,4,4,1.0,True,-47.48115862321138,0.0,0.0,1000.0
joint,1,9,225000,294912,mid,training_like,4,4,1.0,True,58.79312735285319,0.35,0.375,910.4
joint,1,10,250000,327680,mid,training_like,4,4,1.0,True,88.00172551337336,0.5,0.75,709.875
joint,1,11,275000,360448,mid,training_like,4,4,1.0,True,108.67218691657465,0.475,0.675,684.775
joint,1,12,300000,393216,mid,training_like,4,4,1.0,True,188.16224885756395,0.625,0.8250000000000001,599.575
joint,1,13,325000,425984,mid,training_like,4,4,1.0,True,186.16392679812225,0.575,0.7749999999999999,604.75
joint,1,14,350000,458752,mid,training_like,4,4,1.0,True,161.51586395525243,0.6,0.85,472.925
joint,1,15,375000,491520,mid,training_like,4,4,1.0,True,171.57314858165162,0.6000000000000001,0.7999999999999999,470.79999999999995
joint,1,16,400000,524288,mid,training_like,4,4,1.0,True,198.44159078062643,0.6749999999999999,0.875,459.2
joint,1,17,425000,557056,mid,training_like,4,4,1.0,True,208.5876372752877,0.675,0.8500000000000001,423.325
joint,1,18,450000,589824,mid,training_like,4,4,1.0,True,215.31254524145714,0.7250000000000001,0.9,437.92500000000007
joint,1,19,475000,622592,mid,training_like,4,4,1.0,True,192.12204901718232,0.675,0.7999999999999999,388.27500000000003
joint,1,20,500000,655360,final,training_like,4,4,1.0,True,221.18952247922977,0.6675,0.8925,394.1575
joint,2,1,25000,32768,mid,training_like,4,4,1.0,True,-396.01444785977293,0.0,0.0,484.175
joint,2,2,50000,65536,mid,training_like,4,4,1.0,True,-252.58462931793966,0.0,0.0,441.175
joint,2,3,75000,98304,mid,training_like,4,4,1.0,True,-257.62764892284395,0.0,0.0,550.0749999999999
