curriculum,checkpoint_idx,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
joint,4,-129.64528015258676,49.70548612746735,0.010000000000000002,0.0316227766016838,0.026666666666666665,0.07336699564097411,859.0033333333333,165.10148353118313,10
joint,5,-103.80680133681429,41.29053325879751,0.019999999999999997,0.06324555320336758,0.03666666666666667,0.11595018087284058,926.0366666666666,74.78596529388571,10
joint,6,-72.46425927749975,29.77110413447668,0.03333333333333334,0.035136418446315335,0.04,0.03784308081316978,958.6633333333333,38.54640765635463,10
joint,7,-7.400822508267898,65.00272910256682,0.15333333333333335,0.13259052346823375,0.24,0.20172099054062606,894.0899999999999,86.79889777134834,10
joint,8,60.25356953734325,75.7746318970089,0.31,0.19183969645462448,0.47000000000000003,0.2839100883582775,806.5699999999999,131.55020864697144,10
joint,9,102.98158186304545,59.53549981767151,0.4033333333333333,0.06564024661218634,0.6066666666666667,0.19232174687483383,695.4599999999999,132.891690605917,10
joint,10,160.19567785955957,42.03966361248004,0.54,0.15931954070164372,0.7833333333333334,0.104527154012371,548.1,103.34135930599072,10
joint,11,165.5213718332939,36.486067083719654,0.44333333333333336,0.13970869163555472,0.7100000000000001,0.07864594830749508,518.6233333333333,99.37523855084346,10
joint,12,180.34652950430456,31.281288305384187,0.51,0.11764143051170158,0.7666666666666666,0.07027283689263067,479.0,62.308246090418855,10
joint,13,185.87654051972305,40.73122746777746,0.48,0.12688091043217953,0.77,0.12217170673247521,471.46999999999997,74.47574209428079,10
joint,14,186.44225176682465,25.03685388507314,0.51,0.12176682838042206,0.76,0.0926962382871743,450.7633333333333,59.45560943954034,10
joint,15,201.26120282031917,29.409126912800744,0.5033333333333333,0.11049831013734947,0.7933333333333333,0.11309342799999533,408.5966666666667,52.8697828468361,10
joint,16,199.9022571397299,26.568431419738534,0.51,0.10778350500246912,0.7733333333333333,0.10634209879115913,396.5366666666667,61.016216120221905,10
joint,17,199.52839853886422,20.63244276947306,0.5133333333333333,0.09583937179043475,0.76,0.11632224291824358,386.6333333333333,48.25593547577307,10
joint,18,212.24303382217644,22.15747525776007,0.5966666666666667,0.1409404041815696,0.8466666666666667,0.0891662339899506,358.1066666666667,44.007397806827825,10
joint,19,211.2922457202451,25.60806469306366,0.5666666666666667,0.11547005383792512,0.7966666666666666,0.07277565730583477,365.49333333333334,61.715915869449276,10
joint,20,217.2186085017044,12.491037054321392,0.5726666666666667,0.13136322276914608,0.8323333333333334,0.08378470351567689,330.649,35.32180710147174,10
param,1,-172.45819390486963,118.31683740994751,0.09666666666666668,0.11595018087284058,0.16999999999999998,0.21967990181001823,302.1766666666666,95.53082244509903,10
param,2,-178.70878629854218,77.23398035347003,0.023333333333333334,0.04458311699497529,0.06,0.11842588972865979,510.59333333333336,179.28536381705104,10
param,3,-167.88299592311316,70.84054719138726,0.02,0.04499657051403686,0.03666666666666667,0.08670939117834076,655.8133333333333,191.71371416132664,10
param,4,-129.64528015258676,49.70548612746735,0.010000000000000002,0.0316227766016838,0.026666666666666665,0.07336699564097411,859.0033333333333,165.10148353118313,10
param,5,-98.08080816719034,50.09645010793382,0.020000000000000004,0.0632455532033676,0.05,0.15811388300841897,914.5366666666666,99.98410423044974,10
param,6,-58.60543631132116,28.815970323820967,0.04666666666666666,0.05018484351393873,0.06333333333333332,0.05973191135873606,958.0733333333334,29.856594697211857,10
param,7,4.158255725977416,63.461865667159856,0.16333333333333333,0.12013367040689342,0.22999999999999998,0.18287822299126938,889.4866666666667,93.78211575011474,10
param,8,51.31913018041513,76.72673336522861,0.29333333333333333,0.20233208249048956,0.42000000000000004,0.26209036232698707,772.5166666666667,147.16017581424333,10
param,9,94.19677475490072,74.48436313021072,0.3933333333333333,0.1505545305418162,0.5366666666666666,0.20634981684891374,670.9266666666666,157.46055731868574,10
param,10,127.48396275864897,55.834158290996164,0.53,0.15982243233208293,0.6799999999999999,0.1407212462132228,586.7833333333333,100.90709362185534,10
param,11,154.1718768964709,48.10592612203506,0.5666666666666667,0.1122167215373564,0.7433333333333334,0.1735966660657278,530.7766666666666,111.57188686345503,10
param,12,168.29984497467794,33.85488202485505,0.5466666666666666,0.0905402168331705,0.7533333333333333,0.09322745317068017,492.3466666666667,77.6391656922118,10
param,13,188.11083754041277,19.681461291769676,0.5233333333333333,0.1111666527847179,0.7533333333333333,0.11987647963787715,483.9166666666667,50.23594269317145,10
param,14,200.8595526289837,16.727387712924557,0.55,0.10914934835771388,0.8033333333333333,0.10116604124524477,432.59333333333336,41.49992652083334,10
param,15,200.39671447517767,13.371061938668495,0.5366666666666667,0.12516655570345728,0.8033333333333333,0.09486832980505139,428.2166666666667,52.69328734159786,10
param,16,207.5226839843624,21.247761302089145,0.52,0.08043093809268384,0.7866666666666666,0.0773001205818937,427.35,65.73591620273002,10
param,17,220.25430254363332,14.442642217013313,0.6166666666666667,0.11358360166811597,0.8366666666666667,0.093557930822315,401.2033333333333,53.941423304804886,10
param,18,220.67350574069482,16.519056869199876,0.62,0.1032795558988645,0.8400000000000001,0.05837300238472756,389.3666666666667,56.660043185892135,10
param,19,227.5319105297458,15.829116645857843,0.5966666666666667,0.11049831013734951,0.8533333333333333,0.06885303726590962,364.0466666666667,55.40254974744861,10
param,20,218.12594164109834,15.552096155405634,0.6183333333333334,0.04149222744408405,0.8616666666666667,0.029948515493207914,326.4343333333333,36.19180891061157,10
