curriculum,checkpoint_idx,mean_return,std_return,mean_success_strict,std_success_strict,mean_success_soft,std_success_soft,mean_length,std_length,n_seeds
baseline,18,148.9733235006436,55.97731690348065,0.45666666666666667,0.154799751172161,0.6633333333333333,0.13189033978421263,484.7,112.44674569450179,10
baseline,19,161.5921985728311,42.53390124541601,0.44333333333333336,0.16409121221420092,0.7,0.11439589045541111,472.41,104.77732655729399,10
baseline,20,153.9739962595308,34.708533838095235,0.44800000000000006,0.08713831774686202,0.6946666666666668,0.09337565178181628,422.47666666666663,86.88281746335329,10
joint,1,-184.7179052807157,123.03301472249173,0.09333333333333334,0.136806613081079,0.18333333333333332,0.256399572426985,277.18666666666667,85.79419129089834,10
joint,2,-196.00298166262309,76.39180261069454,0.013333333333333332,0.02810913475705226,0.026666666666666665,0.043885372573625556,488.0566666666667,158.9110427834344,10
joint,3,-183.63044013015198,70.66184353510549,0.01666666666666667,0.03239417719358501,0.03333333333333334,0.06666666666666668,670.1933333333334,193.12545068867465,10
joint,4,-155.4351079453481,52.22029706041204,0.01,0.02249828525701843,0.02,0.04216370213557839,843.7133333333334,170.39440030212555,10
joint,5,-126.58010232153428,43.29713721526665,0.02,0.04216370213557839,0.039999999999999994,0.1039943018382008,925.4166666666666,93.70433175752046,10
joint,6,-92.12915617798544,32.08426444860164,0.03333333333333333,0.03142696805273545,0.07333333333333333,0.06045098003882419,938.8866666666667,48.78313612684586,10
joint,7,-29.03121318456772,61.56999945604354,0.11000000000000001,0.08322214804921779,0.23333333333333334,0.1539600717839002,846.6333333333334,79.46854335343036,10
joint,8,41.21829802072487,85.7578620111513,0.2533333333333333,0.1259041375485804,0.46333333333333326,0.27462657024843706,730.4466666666666,127.58533934122217,10
joint,9,76.2965208607248,67.86518047803008,0.3366666666666666,0.07609286074783969,0.5933333333333334,0.1783324679799012,645.2066666666667,139.61602529265224,10
joint,10,139.29232786755284,44.48875257274952,0.4033333333333333,0.11488050689389182,0.6833333333333333,0.14927809825049332,521.4866666666667,109.9931986674013,10
joint,11,139.10244734061934,53.62703422440633,0.33666666666666667,0.10709405120019101,0.63,0.1211569739869687,482.47333333333324,117.52712405606157,10
joint,12,157.15755767727464,36.55422610366283,0.36,0.16162752485305049,0.6966666666666667,0.11488050689389183,468.1966666666666,75.98797736289409,10
joint,13,162.56816300244193,40.991642119901016,0.4066666666666666,0.13680661308107894,0.73,0.09222891541976506,451.5566666666667,63.82378528339755,10
joint,14,176.8694608673022,40.40065853309715,0.4166666666666667,0.135400640077266,0.72,0.0706233270314254,449.71000000000004,59.547590781670046,10
joint,15,182.25562071193906,33.46030185561522,0.47333333333333333,0.16162752485305049,0.76,0.09913203565864646,399.07,57.58399008040553,10
joint,16,180.2610056166823,28.680523839806735,0.43999999999999995,0.16614733904461107,0.7333333333333334,0.13333333333333336,374.1433333333333,50.03785492930253,10
joint,17,186.570603342292,22.796611415297825,0.47000000000000003,0.11595018087284056,0.74,0.13033669598769052,365.25666666666666,47.896225398327665,10
joint,18,193.22953951605226,26.002065752766583,0.5266666666666666,0.13680661308107897,0.78,0.1424650704428854,332.52666666666664,46.37508590388371,10
joint,19,195.03436729195917,28.57933844184622,0.46333333333333326,0.12516655570345725,0.7933333333333333,0.1086391694362695,338.9,49.09382300035435,10
joint,20,188.5329419985965,11.223026397341567,0.5,0.10979217179587222,0.784,0.07227861046578166,327.437,33.175569750519806,10
param,1,-184.7179052807157,123.03301472249173,0.09333333333333334,0.136806613081079,0.18333333333333332,0.256399572426985,277.18666666666667,85.79419129089834,10
param,2,-196.00298166262309,76.39180261069454,0.013333333333333332,0.02810913475705226,0.026666666666666665,0.043885372573625556,488.0566666666667,158.9110427834344,10
param,3,-183.63044013015198,70.66184353510549,0.01666666666666667,0.03239417719358501,0.03333333333333334,0.06666666666666668,670.1933333333334,193.12545068867465,10
param,4,-155.4351079453481,52.22029706041204,0.01,0.02249828525701843,0.02,0.04216370213557839,843.7133333333334,170.39440030212555,10
param,5,-123.40212460542845,56.785332475723045,0.023333333333333334,0.04458311699497529,0.06,0.14470062752088628,905.3566666666666,103.27269433428049,10
