curriculum,checkpoint_idx,mean_return,std_return,mean_success,std_success,mean_length,std_length,n_seeds
param,3,-178.60273897215873,78.82618324829124,0.61,0.2320334160694091,629.48,156.2214637250435,10
param,4,-147.4459489366951,53.11225652666153,0.29333333333333333,0.30258148581093913,839.61,155.3545098027392,10
param,5,-112.85157476149186,51.13191445905481,0.16,0.2571448167669795,917.3733333333333,105.72659452627543,10
param,6,-67.79008498289042,34.544812868548405,0.11666666666666667,0.13448576041011331,956.96,49.529182817984,10
param,7,8.617345353660944,75.2757343470422,0.4033333333333333,0.29666874739178767,839.0133333333333,107.05085465086896,10
param,8,42.246938476092694,84.58859868218407,0.5566666666666666,0.3087409717778335,749.4666666666667,161.7660832158965,10
param,9,74.83782005237637,73.33254651608156,0.6766666666666666,0.2854712370108306,647.2466666666667,178.52785043996934,10
param,10,115.81352520510454,58.880904513889796,0.8166666666666667,0.1517388920416407,531.29,101.95104132455191,10
param,11,135.15881708656565,51.128966155679706,0.79,0.16105362959256234,504.4866666666667,112.34258913401155,10
param,12,163.39112018176556,43.629342205421906,0.8533333333333333,0.12392749772087715,437.2333333333334,93.79705436423583,10
param,13,180.1561339384038,23.510004322369063,0.9333333333333333,0.041573970964154876,387.9866666666666,62.38646616449618,10
param,14,184.90264846267087,21.28960701290819,0.9666666666666666,0.03513641844631535,326.60333333333335,41.83739378257824,10
param,15,183.93741848185266,28.002284023660614,0.9366666666666668,0.036683497820487014,330.9433333333333,40.17914221503246,10
param,16,190.26740559093588,20.16412522659306,0.9466666666666667,0.05258737584977433,327.86,64.38014761871402,10
param,17,201.50346645579134,21.676363611409162,0.9533333333333334,0.039126259692575584,323.44,41.54960088055399,10
param,18,197.81268577789714,23.751312188026688,0.9366666666666668,0.05973191135873609,304.15666666666664,50.707252385082406,10
param,19,199.9503479272715,21.917669387103278,0.9433333333333334,0.0445831169949753,309.9533333333333,52.94271350790635,10
param,20,213.79409501253366,13.475522393439443,0.915,0.017302679447108272,323.488,26.526437090030736,10
