curriculum,run_seed,checkpoint_idx,trained_steps,actual_timesteps,checkpoint_kind,group,mean_return,mean_success,mean_length
baseline,3,4,100000,131072,mid,generalization_combined,-181.3948151878448,0.4833333333333334,683.2166666666667
baseline,3,5,125000,163840,mid,generalization_combined,-159.2940202487061,0.48333333333333334,700.6333333333333
baseline,3,6,150000,196608,mid,generalization_combined,-158.20015123315085,0.4666666666666667,713.95
baseline,3,7,175000,229376,mid,generalization_combined,-133.13672889119982,0.3333333333333333,741.1666666666667
baseline,3,8,200000,262144,mid,generalization_combined,-149.99155835713395,0.31666666666666665,755.25
baseline,3,9,225000,294912,mid,generalization_combined,-145.53327664547584,0.31666666666666665,729.9833333333333
baseline,3,10,250000,327680,mid,generalization_combined,-153.06084406564787,0.39999999999999997,703.2166666666667
baseline,3,11,275000,360448,mid,generalization_combined,-135.21620597398697,0.41666666666666663,697.4666666666667
baseline,3,12,300000,393216,mid,generalization_combined,-147.70110297925376,0.41666666666666663,692.7333333333332
baseline,3,13,325000,425984,mid,generalization_combined,-89.07126029202158,0.4666666666666667,680.8833333333334
baseline,3,14,350000,458752,mid,generalization_combined,-25.172298473733875,0.6166666666666667,639.0666666666666
baseline,3,15,375000,491520,mid,generalization_combined,68.09630409154468,0.7833333333333334,571.1333333333333
baseline,3,16,400000,524288,mid,generalization_combined,62.11376687493704,0.8333333333333334,536.15
baseline,3,17,425000,557056,mid,generalization_combined,79.83052744845418,0.8333333333333333,568.5666666666666
baseline,3,18,450000,589824,mid,generalization_combined,64.63110537983559,0.7666666666666667,593.9833333333333
baseline,3,19,475000,622592,mid,generalization_combined,89.39400211683031,0.8999999999999999,505.73333333333335
baseline,3,20,500000,655360,final,generalization_combined,112.53450021221165,0.795,532.9083333333333
baseline,4,1,25000,32768,mid,generalization_combined,-25.051462748814423,0.9833333333333334,142.71666666666667
baseline,4,2,50000,65536,mid,generalization_combined,-70.58092962725235,0.9833333333333334,371.43333333333334
baseline,4,3,75000,98304,mid,generalization_combined,-211.8510234395058,0.8499999999999999,596.6999999999999
baseline,4,4,100000,131072,mid,generalization_combined,-171.89312159671766,0.3333333333333333,775.1666666666667
baseline,4,5,125000,163840,mid,generalization_combined,-182.71464360671078,0.38333333333333336,816.75
baseline,4,6,150000,196608,mid,generalization_combined,-178.96068123055414,0.2833333333333333,845.1833333333334
baseline,4,7,175000,229376,mid,generalization_combined,-142.69942864451576,0.21666666666666667,832.5666666666666
baseline,4,8,200000,262144,mid,generalization_combined,-113.79790628076034,0.15,875.1499999999999
baseline,4,9,225000,294912,mid,generalization_combined,-102.70736411784986,0.25,805.5
baseline,4,10,250000,327680,mid,generalization_combined,-80.13635457087861,0.3,775.9333333333334
baseline,4,11,275000,360448,mid,generalization_combined,-69.19928742424749,0.33333333333333337,744.7
baseline,4,12,300000,393216,mid,generalization_combined,-32.331280058165675,0.5166666666666666,649.5666666666667
baseline,4,13,325000,425984,mid,generalization_combined,2.555132526881147,0.55,643.1833333333333
baseline,4,14,350000,458752,mid,generalization_combined,26.703611695145877,0.65,592.4833333333333
baseline,4,15,375000,491520,mid,generalization_combined,58.345816417397614,0.6666666666666666,592.6500000000001
baseline,4,16,400000,524288,mid,generalization_combined,93.54337173427525,0.7833333333333334,563.7666666666667
baseline,4,17,425000,557056,mid,generalization_combined,152.75843134407026,0.8833333333333333,498.5666666666667
baseline,4,18,450000,589824,mid,generalization_combined,170.98003962355574,0.8999999999999999,477.1
baseline,4,19,475000,622592,mid,generalization_combined,168.23210783015912,0.9,469.76666666666665
baseline,4,20,500000,655360,final,generalization_combined,163.16813868644658,0.8966666666666667,447.76
baseline,5,1,25000,32768,mid,generalization_combined,-191.1570376667555,0.9833333333333334,354.70000000000005
baseline,5,2,50000,65536,mid,generalization_combined,-219.36927355465355,0.8666666666666667,521.2166666666667
baseline,5,3,75000,98304,mid,generalization_combined,-231.359999038818,0.6499999999999999,635.15
baseline,5,4,100000,131072,mid,generalization_combined,-205.62563603572121,0.44999999999999996,765.4333333333334
baseline,5,5,125000,163840,mid,generalization_combined,-176.84238901070194,0.3,843.9000000000001
baseline,5,6,150000,196608,mid,generalization_combined,-145.85948055268486,0.3833333333333333,797.8500000000001
baseline,5,7,175000,229376,mid,generalization_combined,-119.03184275110897,0.36666666666666664,777.6333333333334
baseline,5,8,200000,262144,mid,generalization_combined,-128.46171096841024,0.2833333333333333,812.1333333333332
baseline,5,9,225000,294912,mid,generalization_combined,-107.10769454915933,0.25,804.8833333333333
baseline,5,10,250000,327680,mid,generalization_combined,-79.38425017493921,0.3666666666666667,747.9000000000001
